target_user,user_profile,title,company,location,skills_required,experience_required,description,url,posted_date,search_timestamp
Shweta,shweta,Power BI Developer,Accenture,Bangalore,"['Power BI', 'SQL', 'SSMS']",2-4 years,Looking for Power BI Developer with strong SQL skills,https://accenture.com/careers/powerbideveloper,2026-01-01,2026-01-01 12:13:14
Shweta,shweta,SQL Developer,Infosys,Bangalore,"['SQL', 'SSMS', 'stored procedures']",2-5 years,SQL Developer for data warehouse projects,https://infosys.com/careers/sqldeveloper,2025-12-30,2026-01-01 12:13:14
Shweta,shweta,BI Analyst,TCS,Bangalore,"['Power BI', 'SQL', 'data visualization']",1-3 years,BI Analyst for reporting and dashboards,https://tcs.com/careers/bianalyst,2026-01-01,2026-01-01 12:13:14
Shweta,shweta,Data Analyst,Wipro,Bangalore,"['SQL', 'Power BI', 'Excel']",2-4 years,Data Analyst for business intelligence,https://wipro.com/careers/dataanalyst,2025-12-31,2026-01-01 12:13:14
Shweta,shweta,Reporting Analyst,Cognizant,Bangalore,"['Power BI', 'SQL', 'reporting']",2-5 years,Reporting Analyst for financial reports,https://cognizant.com/careers/reportinganalyst,2026-01-01,2026-01-01 12:13:14
Geeta,geeta,Python Developer,Amazon,Bangalore,"['Python', 'Django', 'API development']",2-4 years,Python Developer for backend services,https://amazon.jobs/en/jobs/pythondeveloper,2026-01-01,2026-01-01 12:13:14
Geeta,geeta,Data Scientist,Google,Bangalore,"['Python', 'pandas', 'scikit-learn', 'machine learning']",2-5 years,Data Scientist for ML projects,https://careers.google.com/jobs/datascientist,2025-12-30,2026-01-01 12:13:14
Geeta,geeta,Machine Learning Engineer,Microsoft,Bangalore,"['Python', 'TensorFlow', 'machine learning']",3-5 years,ML Engineer for AI products,https://careers.microsoft.com/jobs/mlengineer,2026-01-01,2026-01-01 12:13:14
Geeta,geeta,Analytics Engineer,Flipkart,Bangalore,"['Python', 'pandas', 'data analysis']",2-4 years,Analytics Engineer for data pipelines,https://flipkart.com/careers/analyticsenginner,2025-12-31,2026-01-01 12:13:14
Geeta,geeta,Backend Developer,Razorpay,Bangalore,"['Python', 'FastAPI', 'databases']",2-5 years,Backend Developer for payment systems,https://razorpay.com/jobs/backenddeveloper,2026-01-01,2026-01-01 12:13:14
Shweta,shweta,Power BI Developer,Accenture,Bangalore,"['Power BI', 'SQL', 'SSMS']",2-4 years,Looking for Power BI Developer with strong SQL skills,https://accenture.com/careers/powerbideveloper,2026-01-01,2026-01-01 12:14:01
Shweta,shweta,SQL Developer,Infosys,Bangalore,"['SQL', 'SSMS', 'stored procedures']",2-5 years,SQL Developer for data warehouse projects,https://infosys.com/careers/sqldeveloper,2025-12-30,2026-01-01 12:14:01
Shweta,shweta,BI Analyst,TCS,Bangalore,"['Power BI', 'SQL', 'data visualization']",1-3 years,BI Analyst for reporting and dashboards,https://tcs.com/careers/bianalyst,2026-01-01,2026-01-01 12:14:01
